vehicle,brand,model,category,sales,year,month,source
Honda Fit,Honda,Fit,bev,26,2012,11,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,42,2012,11,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1539,2012,11,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,3,2012,11,hybridcars.com
Tesla Model S,Tesla,Model S,bev,800,2012,11,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,32,2012,11,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2633,2012,12,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,971,2012,12,hybridcars.com
Ford Focus,Ford,Focus,bev,167,2012,12,hybridcars.com
Honda Fit,Honda,Fit,bev,19,2012,12,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,77,2012,12,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1489,2012,12,hybridcars.com
Tesla Model S,Tesla,Model S,bev,900,2012,12,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1361,2012,12,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,52,2012,12,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1140,2013,1,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,338,2013,1,hybridcars.com
Ford Focus,Ford,Focus,bev,81,2013,1,hybridcars.com
Honda Fit,Honda,Fit,bev,8,2013,1,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,257,2013,1,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,650,2013,1,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2013,1,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2013,1,hybridcars.com
Toyota Prius,Toyota,Prius,phev,874,2013,1,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,25,2013,1,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1626,2013,2,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,334,2013,2,hybridcars.com
Ford Focus,Ford,Focus,bev,158,2013,2,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,119,2013,2,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,17,2013,2,hybridcars.com
Honda Fit,Honda,Fit,bev,15,2013,2,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,337,2013,2,hybridcars.com
