vehicle,brand,model,category,sales,year,month,source
BMW X5,BMW,X5,phev,607,2015,12,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,135,2015,12,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,152,2015,12,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2114,2015,12,hybridcars.com
Fiat 500e,Fiat,500e,bev,270,2015,12,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,579,2015,12,hybridcars.com
Ford Focus,Ford,Focus,bev,96,2015,12,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1058,2015,12,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,1,2015,12,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,135,2015,12,hybridcars.com
Kia Soul,Kia,Soul,bev,96,2015,12,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,97,2015,12,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,35,2015,12,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,9,2015,12,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1347,2015,12,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,137,2015,12,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,16,2015,12,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,179,2015,12,hybridcars.com
Tesla Model S,Tesla,Model S,bev,3202,2015,12,hybridcars.com
Tesla Model X,Tesla,Model X,bev,177,2015,12,hybridcars.com
Toyota Prius,Toyota,Prius,phev,22,2015,12,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,609,2015,12,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,74,2015,12,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,327,2016,1,hybridcars.com
BMW i3,BMW,i3,bev,182,2016,1,hybridcars.com
BMW i8,BMW,i8,phev,32,2016,1,hybridcars.com
BMW X5,BMW,X5,phev,181,2016,1,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,67,2016,1,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,139,2016,1,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,996,2016,1,hybridcars.com
Fiat 500e,Fiat,500e,bev,217,2016,1,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,350,2016,1,hybridcars.com
Ford Focus,Ford,Focus,bev,66,2016,1,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,581,2016,1,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,175,2016,1,hybridcars.com
Kia Soul,Kia,Soul,bev,81,2016,1,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,58,2016,1,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,19,2016,1,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,2,2016,1,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,755,2016,1,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,146,2016,1,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,27,2016,1,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,48,2016,1,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2016,1,hybridcars.com
Tesla Model X,Tesla,Model X,bev,400,2016,1,hybridcars.com
Toyota Prius,Toyota,Prius,phev,10,2016,1,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,328,2016,1,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,226,2016,1,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,248,2016,2,hybridcars.com
BMW i3,BMW,i3,bev,248,2016,2,hybridcars.com
BMW i8,BMW,i8,phev,54,2016,2,hybridcars.com
BMW X5,BMW,X5,phev,345,2016,2,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,91,2016,2,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,216,2016,2,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1126,2016,2,hybridcars.com
Fiat 500e,Fiat,500e,bev,195,2016,2,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,490,2016,2,hybridcars.com
Ford Focus,Ford,Focus,bev,81,2016,2,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,932,2016,2,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,200,2016,2,hybridcars.com
Kia Soul,Kia,Soul,bev,60,2016,2,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,37,2016,2,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,36,2016,2,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,5,2016,2,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,930,2016,2,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,172,2016,2,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,33,2016,2,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,54,2016,2,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1900,2016,2,hybridcars.com
Tesla Model X,Tesla,Model X,bev,500,2016,2,hybridcars.com
Toyota Prius,Toyota,Prius,phev,6,2016,2,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,198,2016,2,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,176,2016,2,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,332,2016,3,hybridcars.com
BMW i3,BMW,i3,bev,332,2016,3,hybridcars.com
BMW i8,BMW,i8,phev,89,2016,3,hybridcars.com
BMW X5,BMW,X5,phev,313,2016,3,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,104,2016,3,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,252,2016,3,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1865,2016,3,hybridcars.com
Fiat 500e,Fiat,500e,bev,373,2016,3,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,610,2016,3,hybridcars.com
Ford Focus,Ford,Focus,bev,110,2016,3,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1238,2016,3,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,275,2016,3,hybridcars.com
Kia Soul,Kia,Soul,bev,79,2016,3,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,66,2016,3,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,12,2016,3,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,1,2016,3,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1246,2016,3,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,244,2016,3,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,23,2016,3,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,70,2016,3,hybridcars.com
Tesla Model S,Tesla,Model S,bev,3000,2016,3,hybridcars.com
Tesla Model X,Tesla,Model X,bev,1500,2016,3,hybridcars.com
Toyota Prius,Toyota,Prius,phev,7,2016,3,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,86,2016,3,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,178,2016,3,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,321,2016,4,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,25,2016,4,hybridcars.com
BMW i3,BMW,i3,bev,814,2016,4,hybridcars.com
BMW i8,BMW,i8,phev,130,2016,4,hybridcars.com
BMW X5,BMW,X5,phev,655,2016,4,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,95,2016,4,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,419,2016,4,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1983,2016,4,hybridcars.com
Fiat 500e,Fiat,500e,bev,372,2016,4,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,607,2016,4,hybridcars.com
Ford Focus,Ford,Focus,bev,81,2016,4,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1331,2016,4,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,250,2016,4,hybridcars.com
Kia Soul,Kia,Soul,bev,139,2016,4,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,56,2016,4,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,29,2016,4,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,6,2016,4,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,787,2016,4,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,237,2016,4,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,25,2016,4,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,66,2016,4,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1700,2016,4,hybridcars.com
Tesla Model X,Tesla,Model X,bev,1500,2016,4,hybridcars.com
Toyota Prius,Toyota,Prius,phev,4,2016,4,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,326,2016,4,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,150,2016,4,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,361,2016,5,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,67,2016,5,hybridcars.com
BMW i3,BMW,i3,bev,696,2016,5,hybridcars.com
BMW i8,BMW,i8,phev,146,2016,5,hybridcars.com
BMW X5,BMW,X5,phev,500,2016,5,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,45,2016,5,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,394,2016,5,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1901,2016,5,hybridcars.com
Fiat 500e,Fiat,500e,bev,388,2016,5,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,538,2016,5,hybridcars.com
Ford Focus,Ford,Focus,bev,54,2016,5,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1453,2016,5,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,250,2016,5,hybridcars.com
Kia Soul,Kia,Soul,bev,120,2016,5,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,49,2016,5,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,27,2016,5,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,2,2016,5,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,979,2016,5,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,191,2016,5,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,26,2016,5,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,75,2016,5,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1500,2016,5,hybridcars.com
Tesla Model X,Tesla,Model X,bev,2000,2016,5,hybridcars.com
Toyota Prius,Toyota,Prius,phev,4,2016,5,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,269,2016,5,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,110,2016,5,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,353,2016,6,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,26,2016,6,hybridcars.com
BMW i3,BMW,i3,bev,608,2016,6,hybridcars.com
BMW i8,BMW,i8,phev,169,2016,6,hybridcars.com
BMW X5,BMW,X5,phev,583,2016,6,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,94,2016,6,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,359,2016,6,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1937,2016,6,hybridcars.com
Fiat 500e,Fiat,500e,bev,278,2016,6,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,630,2016,6,hybridcars.com
Ford Focus,Ford,Focus,bev,54,2016,6,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1700,2016,6,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,200,2016,6,hybridcars.com
Kia Soul,Kia,Soul,bev,134,2016,6,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,44,2016,6,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,27,2016,6,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,4,2016,6,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1096,2016,6,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,176,2016,6,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,22,2016,6,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,53,2016,6,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2800,2016,6,hybridcars.com
Tesla Model X,Tesla,Model X,bev,2000,2016,6,hybridcars.com
Toyota Prius,Toyota,Prius,phev,11,2016,6,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,248,2016,6,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,166,2016,6,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,349,2016,7,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,81,2016,7,hybridcars.com
BMW i3,BMW,i3,bev,1479,2016,7,hybridcars.com
BMW i8,BMW,i8,phev,166,2016,7,hybridcars.com
BMW X5,BMW,X5,phev,649,2016,7,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,15,2016,7,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,333,2016,7,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2406,2016,7,hybridcars.com
Fiat 500e,Fiat,500e,bev,274,2016,7,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,755,2016,7,hybridcars.com
Ford Focus,Ford,Focus,bev,58,2016,7,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1341,2016,7,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,350,2016,7,hybridcars.com
Kia Soul,Kia,Soul,bev,179,2016,7,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,50,2016,7,hybridcars.com
Mercedes GLE 550e,Mercedes,GLE 550e,phev,30,2016,7,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,32,2016,7,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,20,2016,7,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1063,2016,7,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,148,2016,7,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,21,2016,7,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,62,2016,7,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2400,2016,7,hybridcars.com
Tesla Model X,Tesla,Model X,bev,1500,2016,7,hybridcars.com
Toyota Prius,Toyota,Prius,phev,4,2016,7,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,344,2016,7,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,178,2016,7,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,346,2016,8,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,51,2016,8,hybridcars.com
BMW i3,BMW,i3,bev,1013,2016,8,hybridcars.com
BMW i8,BMW,i8,phev,145,2016,8,hybridcars.com
BMW X5,BMW,X5,phev,876,2016,8,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,6,2016,8,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,292,2016,8,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2081,2016,8,hybridcars.com
Fiat 500e,Fiat,500e,bev,311,2016,8,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,707,2016,8,hybridcars.com
Ford Focus,Ford,Focus,bev,75,2016,8,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1422,2016,8,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,250,2016,8,hybridcars.com
Kia Soul,Kia,Soul,bev,153,2016,8,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,57,2016,8,hybridcars.com
Mercedes GLE 550e,Mercedes,GLE 550e,phev,24,2016,8,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,30,2016,8,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,25,2016,8,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1066,2016,8,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,197,2016,8,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,59,2016,8,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,55,2016,8,hybridcars.com
Tesla Model S,Tesla,Model S,bev,3200,2016,8,hybridcars.com
Tesla Model X,Tesla,Model X,bev,1900,2016,8,hybridcars.com
Toyota Prius,Toyota,Prius,phev,2,2016,8,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,454,2016,8,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,176,2016,8,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,312,2016,9,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,54,2016,9,hybridcars.com
BMW i3,BMW,i3,bev,391,2016,9,hybridcars.com
BMW i8,BMW,i8,phev,158,2016,9,hybridcars.com
BMW X5,BMW,X5,phev,482,2016,9,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,6,2016,9,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,315,2016,9,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2031,2016,9,hybridcars.com
Fiat 500e,Fiat,500e,bev,370,2016,9,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,689,2016,9,hybridcars.com
Ford Focus,Ford,Focus,bev,82,2016,9,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1652,2016,9,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,275,2016,9,hybridcars.com
Kia Soul,Kia,Soul,bev,217,2016,9,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,51,2016,9,hybridcars.com
Mercedes GLE 550e,Mercedes,GLE 550e,phev,26,2016,9,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,41,2016,9,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,17,2016,9,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1316,2016,9,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,131,2016,9,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,28,2016,9,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,44,2016,9,hybridcars.com
Tesla Model S,Tesla,Model S,bev,4100,2016,9,hybridcars.com
Tesla Model X,Tesla,Model X,bev,2600,2016,9,hybridcars.com
Toyota Prius,Toyota,Prius,phev,4,2016,9,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,529,2016,9,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,148,2016,9,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,348,2016,10,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,92,2016,10,hybridcars.com
BMW i3,BMW,i3,bev,442,2016,10,hybridcars.com
BMW i8,BMW,i8,phev,199,2016,10,hybridcars.com
BMW X5,BMW,X5,phev,406,2016,10,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,3,2016,10,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,260,2016,10,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2191,2016,10,hybridcars.com
Fiat 500e,Fiat,500e,bev,319,2016,10,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,571,2016,10,hybridcars.com
Ford Focus,Ford,Focus,bev,73,2016,10,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1372,2016,10,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,250,2016,10,hybridcars.com
Kia Soul,Kia,Soul,bev,190,2016,10,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,58,2016,10,hybridcars.com
Mercedes GLE 550e,Mercedes,GLE 550e,phev,19,2016,10,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,174,2016,10,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,4,2016,10,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1412,2016,10,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,138,2016,10,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,38,2016,10,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,43,2016,10,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1200,2016,10,hybridcars.com
Tesla Model X,Tesla,Model X,bev,1000,2016,10,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,407,2016,10,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,142,2016,10,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,394,2016,11,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,215,2016,11,hybridcars.com
BMW i3,BMW,i3,bev,629,2016,11,hybridcars.com
BMW i8,BMW,i8,phev,173,2016,11,hybridcars.com
BMW X5,BMW,X5,phev,436,2016,11,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,5,2016,11,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,39,2016,11,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2531,2016,11,hybridcars.com
Fiat 500e,Fiat,500e,bev,287,2016,11,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,721,2016,11,hybridcars.com
Ford Focus,Ford,Focus,bev,66,2016,11,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1817,2016,11,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,275,2016,11,hybridcars.com
Kia Soul,Kia,Soul,bev,179,2016,11,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,52,2016,11,hybridcars.com
Mercedes GLE 550e,Mercedes,GLE 550e,phev,30,2016,11,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,52,2016,11,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,5,2016,11,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1457,2016,11,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,179,2016,11,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,88,2016,11,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,47,2016,11,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1800,2016,11,hybridcars.com
Tesla Model X,Tesla,Model X,bev,1400,2016,11,hybridcars.com
Toyota Prius,Toyota,Prius,phev,781,2016,11,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,305,2016,11,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,161,2016,11,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,589,2016,12,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,240,2016,12,hybridcars.com
BMW 7-Series Plug in,BMW,7-Series Plug in,phev,23,2016,12,hybridcars.com
BMW i3,BMW,i3,bev,791,2016,12,hybridcars.com
BMW i8,BMW,i8,phev,133,2016,12,hybridcars.com
BMW X5,BMW,X5,phev,569,2016,12,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,3,2016,12,hybridcars.com
Chevrolet Bolt,Chevrolet,Bolt,bev,579,2016,12,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,17,2016,12,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,3691,2016,12,hybridcars.com
Fiat 500e,Fiat,500e,bev,353,2016,12,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,1289,2016,12,hybridcars.com
Ford Focus,Ford,Focus,bev,101,2016,12,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1099,2016,12,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,250,2016,12,hybridcars.com
Kia Soul,Kia,Soul,bev,197,2016,12,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,54,2016,12,hybridcars.com
Mercedes C350We Plug-in,Mercedes,C350We Plug-in,phev,171,2016,12,hybridcars.com
Mercedes GLE 550e,Mercedes,GLE 550e,phev,83,2016,12,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,71,2016,12,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,3,2016,12,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1899,2016,12,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,152,2016,12,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,3,2016,12,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,40,2016,12,hybridcars.com
Tesla Model S,Tesla,Model S,bev,5300,2016,12,hybridcars.com
Tesla Model X,Tesla,Model X,bev,3300,2016,12,hybridcars.com
Toyota Prius Prime,Toyota,Prius Prime,phev,1641,2016,12,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,443,2016,12,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,204,2016,12,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,387,2017,1,hybridcars.com
BMW 3-Series Plug in,BMW,3-Series Plug in,phev,129,2017,1,hybridcars.com
BMW 7-Series Plug in,BMW,7-Series Plug in,phev,18,2017,1,hybridcars.com
BMW i3,BMW,i3,bev,382,2017,1,hybridcars.com
BMW i8,BMW,i8,phev,50,2017,1,hybridcars.com
BMW X5,BMW,X5,phev,262,2017,1,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,3,2017,1,hybridcars.com
Chevrolet Bolt,Chevrolet,Bolt,bev,1162,2017,1,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,4,2017,1,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1611,2017,1,hybridcars.com
Fiat 500e,Fiat,500e,bev,305,2017,1,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,473,2017,1,hybridcars.com
Ford Focus,Ford,Focus,bev,56,2017,1,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,606,2017,1,hybridcars.com
Hyundai Sonata Plug In,Hyundai,Sonata Plug In,phev,150,2017,1,hybridcars.com
Kia Optima Plug In,Kia,Optima Plug In,phev,40,2017,1,hybridcars.com
