age_months,powertrain,vehicle_type,rr25,rr50,rr75
32,bev,car,0.40536535912033067,0.4948584905660377,0.5828643852713367
33,conventional,car,0.5683465410756084,0.6442382695507488,0.730110775427996
33,hybrid,car,0.5719982370286392,0.6501625638643753,0.726409610067243
33,phev,car,0.49673833552727803,0.5370207950205121,0.6214719593162876
33,bev,car,0.389924354675193,0.48320754716981135,0.5746582938214879
34,conventional,car,0.5592816002367524,0.6360845057513405,0.7194869422507955
34,hybrid,car,0.5674474323003689,0.6441650205135998,0.7187289177516472
34,phev,car,0.48487074445543155,0.5264882258300424,0.615677145332976
34,bev,car,0.3990320907743897,0.4932143116336454,0.5783394650312141
35,conventional,car,0.5513491782408516,0.6276206322795341,0.7079136690647482
35,hybrid,car,0.5665773462375082,0.6429179407963179,0.7155007000985324
35,phev,car,0.48023732165560107,0.5223336629467439,0.5930216132222065
35,bev,car,0.37734669811320753,0.47180846915698355,0.5722921877062301
36,conventional,car,0.5444445923460899,0.6195515243134291,0.7003446837471734
36,hybrid,car,0.5672582831562687,0.6419996960948184,0.7079192546583851
36,phev,car,0.4662981456276356,0.5012295366894937,0.560192389305418
36,bev,car,0.38915547169811315,0.4667452830188679,0.5546498935827152
37,conventional,car,0.5416365606936416,0.6162407105310858,0.6990302104655172
37,hybrid,car,0.5651692670002944,0.6392592152905562,0.7035969862236373
37,phev,car,0.42556767284080355,0.46801228609039053,0.5260031061382388
37,bev,car,0.3767441860465116,0.45075255400452313,0.5409326424870466
38,conventional,car,0.5414197976878613,0.6145646110938953,0.6947173879562606
38,hybrid,car,0.561591263650546,0.6390027114464873,0.7024074182585258
38,phev,car,0.41946608762294035,0.4623939127889962,0.5092092233696421
38,bev,car,0.3739786297925833,0.44575471698113206,0.5326360103626943
39,conventional,car,0.547933936317629,0.6219458018658375,0.7018474993167532
39,hybrid,car,0.5665511811023622,0.6420140212757557,0.7040316476733819
39,phev,car,0.42521439558032836,0.46801228609039053,0.5097853309481217
39,bev,car,0.35897919690548075,0.43557639496526707,0.5278930936992071
40,conventional,car,0.5494124167172301,0.6228074784749356,0.7015521441006476
40,hybrid,car,0.5696322747302841,0.6453426530922353,0.7120555588532083
40,phev,car,0.4284554629223344,0.4741000877963126,0.5243488633417319
40,bev,car,0.36163522012578614,0.43993591476416605,0.5199481865284974
41,conventional,car,0.5476032071334722,0.6210900580584184,0.6991837605758416
41,hybrid,car,0.5678576984908987,0.6450931677018633,0.7120555588532083
41,phev,car,0.4340401072933963,0.48091667845522706,0.5267412935323383
41,bev,car,0.34541169076052797,0.41471698113207545,0.4983857131716447
42,conventional,car,0.5432031404620441,0.6166495375128469,0.6945970189132965
42,hybrid,car,0.566740157480315,0.6423883231928376,0.7071580251282958
42,phev,car,0.438642679537809,0.4850683356750543,0.5267486098917179
42,bev,car,0.33463157576939195,0.4029231680821647,0.4835550181378476
43,conventional,car,0.5391214164012149,0.6123016977456165,0.6903931594551627
43,hybrid,car,0.5624598425196851,0.6394512823488709,0.7024716595428359
43,phev,car,0.43574773192859234,0.4818366248927468,0.5264852209540533
43,bev,car,0.3428526865788037,0.41836855619198104,0.5188015690683351
44,conventional,car,0.536697083556987,0.6098517030642335,0.6900132381927617
44,hybrid,car,0.5623937007874016,0.6393391473738093,0.7038048177887585
44,phev,car,0.43341488989863686,0.47151234838284595,0.5201638864501025
44,bev,car,0.34249238083533423,0.4086407236996023,0.5043959868277814
45,conventional,car,0.5292652552926526,0.6005490734385724,0.6813382338729239
45,hybrid,car,0.5496974935177182,0.623584251968504,0.688549890188164
45,phev,car,0.4168494953927161,0.4568910461106144,0.49723562966213253
45,bev,car,0.3431022381657958,0.41802136553646074,0.5223891428986138
46,conventional,car,0.5178876743284989,0.5922847922347584,0.6729603325827126
46,hybrid,car,0.544251968503937,0.6160177427304091,0.6804829608146022
46,phev,car,0.4067895815042435,0.4430507114176351,0.48935352733806436
46,bev,car,0.34255185417976114,0.41786743515850144,0.5234455958549222
47,conventional,car,0.5082826879666609,0.5813268053855569,0.6598240469208211
47,hybrid,car,0.5303276131045243,0.6042708661417323,0.6658049872324328
47,phev,car,0.39117790982174067,0.4355126517478426,0.4753093324012583
47,bev,car,0.32849999999999996,0.41001379854129705,0.5211139896373057
48,conventional,car,0.4958116971850232,0.5680089286325635,0.6459879870629909
48,hybrid,car,0.518409680207433,0.5888225804634608,0.6501625638643753
48,phev,car,0.38036289142522683,0.424016381453854,0.4673102237823607
48,bev,car,0.3142049025769956,0.4054589409654527,0.5133767172812725
49,conventional,car,0.4861383890283197,0.5573461604144134,0.6359851436508146
49,hybrid,car,0.5090411791521046,0.5743147402721871,0.6412277658201384
49,phev,car,0.38023907542665536,0.41943376441803565,0.46575943810359965
49,bev,car,0.288895790200138,0.37696417347580136,0.4914817178610895
50,conventional,car,0.4829480339853784,0.5547458755641045,0.6341194068122569
