year,month,cpi,date
1943,4,0.06912662090007628,1943-04-01
1943,5,0.06952390033053649,1943-05-01
1943,6,0.06952390033053649,1943-06-01
1943,7,0.06912662090007628,1943-07-01
1943,8,0.06872934146961608,1943-08-01
1943,9,0.06912662090007628,1943-09-01
1943,10,0.06912662090007628,1943-10-01
1943,11,0.06912662090007628,1943-11-01
1943,12,0.06912662090007628,1943-12-01
1944,1,0.06912662090007628,1944-01-01
1944,2,0.06912662090007628,1944-02-01
1944,3,0.06912662090007628,1944-03-01
1944,4,0.06952390033053649,1944-04-01
1944,5,0.06952390033053649,1944-05-01
1944,6,0.06992117976099671,1944-06-01
1944,7,0.0703184591914569,1944-07-01
1944,8,0.0703184591914569,1944-08-01
1944,9,0.0703184591914569,1944-09-01
1944,10,0.0703184591914569,1944-10-01
1944,11,0.0703184591914569,1944-11-01
1944,12,0.07071573862191712,1944-12-01
1945,1,0.07071573862191712,1945-01-01
1945,2,0.07071573862191712,1945-02-01
1945,3,0.07071573862191712,1945-03-01
1945,4,0.07071573862191712,1945-04-01
1945,5,0.07111301805237731,1945-05-01
1945,6,0.07190757691329774,1945-06-01
1945,7,0.07190757691329774,1945-07-01
1945,8,0.07190757691329774,1945-08-01
1945,9,0.07190757691329774,1945-09-01
1945,10,0.07190757691329774,1945-10-01
1945,11,0.07190757691329774,1945-11-01
1945,12,0.07230485634375794,1945-12-01
1946,1,0.07230485634375794,1946-01-01
1946,2,0.07190757691329774,1946-02-01
1946,3,0.07270213577421816,1946-03-01
1946,4,0.07309941520467836,1946-04-01
1946,5,0.07349669463513857,1946-05-01
1946,6,0.07429125349605899,1946-06-01
1946,7,0.07866132723112129,1946-07-01
1946,8,0.08025044495296212,1946-08-01
1946,9,0.08104500381388254,1946-09-01
1946,10,0.08263412153572337,1946-10-01
1946,11,0.08462051868802442,1946-11-01
1946,12,0.08541507754894483,1946-12-01
1947,1,0.08541507754894483,1947-01-01
1947,2,0.08541507754894483,1947-02-01
1947,3,0.08700419527078566,1947-03-01
1947,4,0.08700419527078566,1947-04-01
1947,5,0.08700419527078566,1947-05-01
1947,6,0.08740147470124587,1947-06-01
1947,7,0.08819603356216629,1947-07-01
1947,8,0.08938787185354692,1947-08-01
1947,9,0.09137426900584796,1947-09-01
1947,10,0.09137426900584796,1947-10-01
1947,11,0.09177154843630816,1947-11-01
1947,12,0.09296338672768878,1947-12-01
1948,1,0.09415522501906941,1948-01-01
1948,2,0.093360666158149,1948-02-01
1948,3,0.09296338672768878,1948-03-01
1948,4,0.09455250444952963,1948-04-01
1948,5,0.09494978387998983,1948-05-01
1948,6,0.09574434274091026,1948-06-01
1948,7,0.09693618103229087,1948-07-01
1948,8,0.09733346046275108,1948-08-01
1948,9,0.09733346046275108,1948-09-01
1948,10,0.09693618103229087,1948-10-01
1948,11,0.09614162217137046,1948-11-01
1948,12,0.09574434274091026,1948-12-01
1949,1,0.09534706331045004,1949-01-01
1949,2,0.09455250444952963,1949-02-01
1949,3,0.09455250444952963,1949-03-01
1949,4,0.09494978387998983,1949-04-01
1949,5,0.09455250444952963,1949-05-01
1949,6,0.09494978387998983,1949-06-01
1949,7,0.09415522501906941,1949-07-01
1949,8,0.09455250444952963,1949-08-01
1949,9,0.09494978387998983,1949-09-01
1949,10,0.09415522501906941,1949-10-01
1949,11,0.09455250444952963,1949-11-01
1949,12,0.09375794558860921,1949-12-01
1950,1,0.093360666158149,1950-01-01
1950,2,0.093360666158149,1950-02-01
1950,3,0.09375794558860921,1950-03-01
1950,4,0.09375794558860921,1950-04-01
1950,5,0.09415522501906941,1950-05-01
1950,6,0.09455250444952963,1950-06-01
1950,7,0.09574434274091026,1950-07-01
1950,8,0.09653890160183067,1950-08-01
1950,9,0.09693618103229087,1950-09-01
1950,10,0.0977307398932113,1950-10-01
1950,11,0.0981280193236715,1950-11-01
1950,12,0.09931985761505213,1950-12-01
1951,1,0.10090897533689296,1951-01-01
1951,2,0.10210081362827358,1951-02-01
1951,3,0.1024980930587338,1951-03-01
1951,4,0.1024980930587338,1951-04-01
1951,5,0.102895372489194,1951-05-01
1951,6,0.102895372489194,1951-06-01
1951,7,0.102895372489194,1951-07-01
1951,8,0.102895372489194,1951-08-01
1951,9,0.10368993135011442,1951-09-01
1951,10,0.10408721078057463,1951-10-01
1951,11,0.10488176964149504,1951-11-01
1951,12,0.10527904907195526,1951-12-01
1952,1,0.10527904907195526,1952-01-01
1952,2,0.10448449021103484,1952-02-01
1952,3,0.10448449021103484,1952-03-01
1952,4,0.10488176964149504,1952-04-01
1952,5,0.10488176964149504,1952-05-01
1952,6,0.10527904907195526,1952-06-01
1952,7,0.10607360793287567,1952-07-01
1952,8,0.10607360793287567,1952-08-01
1952,9,0.10607360793287567,1952-09-01
1952,10,0.10607360793287567,1952-10-01
1952,11,0.10607360793287567,1952-11-01
1952,12,0.10607360793287567,1952-12-01
1953,1,0.10567632850241547,1953-01-01
1953,2,0.10527904907195526,1953-02-01
1953,3,0.10567632850241547,1953-03-01
1953,4,0.10567632850241547,1953-04-01
1953,5,0.10607360793287567,1953-05-01
1953,6,0.10647088736333589,1953-06-01
1953,7,0.10647088736333589,1953-07-01
1953,8,0.10686816679379608,1953-08-01
1953,9,0.10686816679379608,1953-09-01
1953,10,0.1072654462242563,1953-10-01
1953,11,0.10686816679379608,1953-11-01
1953,12,0.10686816679379608,1953-12-01
1954,1,0.10686816679379608,1954-01-01
1954,2,0.10686816679379608,1954-02-01
1954,3,0.10686816679379608,1954-03-01
1954,4,0.10647088736333589,1954-04-01
1954,5,0.10686816679379608,1954-05-01
1954,6,0.10686816679379608,1954-06-01
1954,7,0.10686816679379608,1954-07-01
1954,8,0.10686816679379608,1954-08-01
1954,9,0.10647088736333589,1954-09-01
1954,10,0.10647088736333589,1954-10-01
1954,11,0.10647088736333589,1954-11-01
1954,12,0.10607360793287567,1954-12-01
1955,1,0.10607360793287567,1955-01-01
1955,2,0.10607360793287567,1955-02-01
1955,3,0.10607360793287567,1955-03-01
1955,4,0.10607360793287567,1955-04-01
1955,5,0.10607360793287567,1955-05-01
1955,6,0.10607360793287567,1955-06-01
1955,7,0.10647088736333589,1955-07-01
1955,8,0.10647088736333589,1955-08-01
1955,9,0.10686816679379608,1955-09-01
1955,10,0.10686816679379608,1955-10-01
1955,11,0.10686816679379608,1955-11-01
1955,12,0.10647088736333589,1955-12-01
1956,1,0.10647088736333589,1956-01-01
1956,2,0.10647088736333589,1956-02-01
1956,3,0.10647088736333589,1956-03-01
1956,4,0.10686816679379608,1956-04-01
1956,5,0.1072654462242563,1956-05-01
1956,6,0.10806000508517671,1956-06-01
1956,7,0.10885456394609713,1956-07-01
1956,8,0.10845728451563692,1956-08-01
1956,9,0.10885456394609713,1956-09-01
1956,10,0.10925184337655734,1956-10-01
1956,11,0.10925184337655734,1956-11-01
1956,12,0.10964912280701755,1956-12-01
1957,1,0.10964912280701755,1957-01-01
1957,2,0.11004640223747776,1957-02-01
1957,3,0.11044368166793797,1957-03-01
1957,4,0.11084096109839817,1957-04-01
1957,5,0.11123824052885838,1957-05-01
1957,6,0.1116355199593186,1957-06-01
1957,7,0.112430078820239,1957-07-01
1957,8,0.112430078820239,1957-08-01
1957,9,0.112430078820239,1957-09-01
1957,10,0.112430078820239,1957-10-01
1957,11,0.11282735825069921,1957-11-01
1957,12,0.11282735825069921,1957-12-01
1958,1,0.11362191711161963,1958-01-01
1958,2,0.11362191711161963,1958-02-01
1958,3,0.11441647597254005,1958-03-01
1958,4,0.11481375540300025,1958-04-01
1958,5,0.11481375540300025,1958-05-01
1958,6,0.11481375540300025,1958-06-01
1958,7,0.11521103483346047,1958-07-01
1958,8,0.11481375540300025,1958-08-01
1958,9,0.11481375540300025,1958-09-01
1958,10,0.11481375540300025,1958-10-01
1958,11,0.11521103483346047,1958-11-01
1958,12,0.11481375540300025,1958-12-01
1959,1,0.11521103483346047,1959-01-01
1959,2,0.11481375540300025,1959-02-01
1959,3,0.11481375540300025,1959-03-01
1959,4,0.11521103483346047,1959-04-01
1959,5,0.11521103483346047,1959-05-01
1959,6,0.11560831426392068,1959-06-01
1959,7,0.11600559369438088,1959-07-01
1959,8,0.11600559369438088,1959-08-01
1959,9,0.1164028731248411,1959-09-01
1959,10,0.1168001525553013,1959-10-01
1959,11,0.1168001525553013,1959-11-01
1959,12,0.1168001525553013,1959-12-01
1960,1,0.1164028731248411,1960-01-01
1960,2,0.1168001525553013,1960-02-01
1960,3,0.1168001525553013,1960-03-01
1960,4,0.1171974319857615,1960-04-01
1960,5,0.1171974319857615,1960-05-01
1960,6,0.11759471141622173,1960-06-01
1960,7,0.11759471141622173,1960-07-01
1960,8,0.11759471141622173,1960-08-01
1960,9,0.11759471141622173,1960-09-01
1960,10,0.11838927027714213,1960-10-01
1960,11,0.11838927027714213,1960-11-01
1960,12,0.11838927027714213,1960-12-01
1961,1,0.11838927027714213,1961-01-01
1961,2,0.11838927027714213,1961-02-01
1961,3,0.11838927027714213,1961-03-01
1961,4,0.11838927027714213,1961-04-01
1961,5,0.11838927027714213,1961-05-01
1961,6,0.11838927027714213,1961-06-01
1961,7,0.11918382913806255,1961-07-01
1961,8,0.11878654970760234,1961-08-01
1961,9,0.11918382913806255,1961-09-01
1961,10,0.11918382913806255,1961-10-01
1961,11,0.11918382913806255,1961-11-01
