year,state,price_raw,price
2019,UT,10.400929,10.240417331062499
2019,WY,11.17519,11.002729597896142
2019,CA,19.153355,18.85777207882032
2019,OR,11.012456,10.842506979901815
2019,WA,9.7082473,9.558425396919901
2019,AK,22.916973,22.56330828570134
2019,HI,32.062292,31.56749273746475
2018,CT,21.199983,21.25107489134837
2018,ME,16.842433,16.883023209759987
2018,MA,21.609659,21.661738209200465
2018,NH,19.685635,19.733077317502975
2018,RI,20.550767,20.60029428286101
2018,VT,18.019896,18.063323891830898
2018,NJ,15.40916,15.446296026405758
2018,NY,18.519695,18.564327405825274
2018,PA,13.891525,13.925003530900858
2018,IL,12.765304,12.796068341886354
2018,IN,12.262915,12.292468586000247
2018,MI,15.447239,15.48446679667419
2018,OH,12.561263,12.591535603727761
2018,WI,14.018934,14.0527195861841
